Country,Year,Life_Expectancy
kazakhstan,2016,72.41
kazakhstan,2017,72.95
kazakhstan,2018,73.15
kazakhstan,2019,73.18
kazakhstan,2020,71.37
kazakhstan,2021,70.23
kazakhstan,2022,74.44
kazakhstan,2023,
kenya,2015,61.892
kenya,2016,62.163
kenya,2017,62.481
kenya,2018,62.676
kenya,2019,62.943
kenya,2020,62.675
kenya,2021,61.427
kenya,2022,62.055
kenya,2023,
kiribati,2015,66.059
kiribati,2016,66.332
kiribati,2017,66.597
kiribati,2018,66.855
kiribati,2019,67.15
kiribati,2020,67.266
kiribati,2021,67.417
kiribati,2022,67.661
kiribati,2023,
"korea, dem. people's rep.",2015,72.784
"korea, dem. people's rep.",2016,72.805
"korea, dem. people's rep.",2017,72.978
"korea, dem. people's rep.",2018,73.031
"korea, dem. people's rep.",2019,73.198
"korea, dem. people's rep.",2020,73.274
"korea, dem. people's rep.",2021,73.284
"korea, dem. people's rep.",2022,73.578
"korea, dem. people's rep.",2023,
"korea, rep.",2015,82.0243902439024
"korea, rep.",2016,82.2756097560976
"korea, rep.",2017,82.6268292682927
"korea, rep.",2018,82.6268292682927
"korea, rep.",2019,83.2268292682927
"korea, rep.",2020,83.4268292682927
"korea, rep.",2021,83.5268292682927
"korea, rep.",2022,82.6804878048781
"korea, rep.",2023,
kosovo,2015,78.922
kosovo,2016,78.981
kosovo,2017,78.783
kosovo,2018,78.696
kosovo,2019,79.022
kosovo,2020,76.567
kosovo,2021,76.806
kosovo,2022,79.524
kosovo,2023,
kuwait,2015,79.562
kuwait,2016,79.701
kuwait,2017,79.781
kuwait,2018,79.722
kuwait,2019,79.685
kuwait,2020,76.92
kuwait,2021,78.673
kuwait,2022,80.264
kuwait,2023,
kyrgyz republic,2015,70.6512195121951
kyrgyz republic,2016,70.9512195121951
kyrgyz republic,2017,71.2
kyrgyz republic,2018,71.4
kyrgyz republic,2019,71.6
kyrgyz republic,2020,71.8
kyrgyz republic,2021,71.9
kyrgyz republic,2022,72.0487804878049
kyrgyz republic,2023,
lao pdr,2015,66.67
lao pdr,2016,67.167
lao pdr,2017,67.434
lao pdr,2018,67.634
lao pdr,2019,68.138
lao pdr,2020,68.497
lao pdr,2021,68.061
lao pdr,2022,68.999
lao pdr,2023,
latvia,2015,74.4804878048781
latvia,2016,74.580487804878
latvia,2017,74.6292682926829
latvia,2018,74.7829268292683
latvia,2019,75.3878048780488
latvia,2020,75.1853658536585
latvia,2021,72.9804878048781
latvia,2022,74.580487804878
latvia,2023,75.9
least developed countries: un classification,2015,63.4910879470846
least developed countries: un classification,2016,64.0109064266327
least developed countries: un classification,2017,64.4004122819752
least developed countries: un classification,2018,64.7923469499686
least developed countries: un classification,2019,65.1258903357164
least developed countries: un classification,2020,64.6017504849063
least developed countries: un classification,2021,64.1753409199014
least developed countries: un classification,2022,64.8802732533622
least developed countries: un classification,2023,
lebanon,2015,79.229
lebanon,2016,79.505
lebanon,2017,79.654
lebanon,2018,79.729
lebanon,2019,79.236
lebanon,2020,77.804
lebanon,2021,75.047
lebanon,2022,74.416
lebanon,2023,
lesotho,2015,51.101
lesotho,2016,52.264
lesotho,2017,53.064
lesotho,2018,53.733
lesotho,2019,54.173
lesotho,2020,54.693
lesotho,2021,53.062
lesotho,2022,53.036
lesotho,2023,
liberia,2015,59.148
liberia,2016,60.416
liberia,2017,60.553
liberia,2018,60.853
liberia,2019,61.104
liberia,2020,60.948
liberia,2021,60.747
liberia,2022,61.1
liberia,2023,
libya,2015,71.698
libya,2016,71.756
libya,2017,72.482
libya,2018,72.794
libya,2019,72.463
libya,2020,72.472
libya,2021,71.911
libya,2022,72.151
libya,2023,
liechtenstein,2015,82.6560975609756
liechtenstein,2016,82.2585365853659
liechtenstein,2017,83.7463414634147
liechtenstein,2018,83.0414634146342
liechtenstein,2019,84.1609756097561
liechtenstein,2020,81.6585365853659
liechtenstein,2021,84.4024390243902
liechtenstein,2022,84.319512195122
liechtenstein,2023,
lithuania,2015,74.3219512195122
lithuania,2016,74.6707317073171
