Country,Year,GDP_per_capita,Education_Attainment,Life_Expectancy,Unemployment_Rate,Happiness Score
finland,2022,50438.4753952355,28.7976665496826,81.1878048780488,6.719,7.804
finland,2023,52925.6897638424,,81.7,7.151,7.741
france,2015,36702.4323733379,17.6599998474121,82.3219512195122,10.354,6.478
france,2016,37024.2157133669,17.3999996185303,82.5731707317073,10.057,6.442
france,2017,38687.1626407164,18.0,82.5756097560976,9.409,6.489
france,2018,41418.1766484844,19.2230129241943,82.6756097560976,9.018,6.592
france,2019,40408.2848574751,19.7000007629395,82.8268292682927,8.415,6.66379976272583
france,2020,39169.8606000707,20.9787750244141,82.1756097560976,8.009,6.69
france,2021,43725.0999521245,22.9377460479736,82.3243902439024,7.874,6.687
france,2022,41082.8119320747,22.5577774047852,82.2292682926829,7.308,6.661
france,2023,44690.9345395117,24.354621887207,83.1,7.335,6.609
"gambia, the",2018,696.219806960615,1.39770996570587,63.04,4.127,4.516
"gambia, the",2019,738.186751987483,,63.755,4.538,4.75059986114502
"gambia, the",2020,720.335143352133,1.88328003883362,62.612,5.892,5.051
"gambia, the",2021,781.890925169531,,62.083,6.269,5.164
"gambia, the",2022,836.244875868476,,62.906,6.076,4.279
"gambia, the",2023,888.157407724123,9.04935646057129,,6.479,4.485
georgia,2015,4086.6223465965,34.6597900390625,73.297,16.506,4.252
georgia,2016,4143.40125686315,32.8499984741211,73.569,16.604,4.286
georgia,2017,4418.75206546679,34.0200004577637,73.57,13.939,4.34
georgia,2018,4804.0546040444,34.8497581481934,73.341,12.667,4.519
georgia,2019,4741.2832715876,33.6699981689453,73.47,11.565,4.67259979248047
georgia,2020,4300.85701291207,33.1648941040039,72.765,11.73,4.891
georgia,2021,5083.60695484577,34.2079086303711,71.694,11.791,4.973
georgia,2022,6729.84659930283,34.0200004577637,71.587,11.647,5.109
