Year,Country,GDP_per_capita,Education_Attainment,Life_Expectancy,Unemployment_Rate,Happiness Score
2018,China,9905.40638304527,7.67999982833862,77.744,4.31,5.191
2017,China,8817.04560829162,7.67999982833862,77.248,4.47,5.246
2016,China,8094.39016735149,7.67999982833862,77.218,4.56,5.273
2015,China,8016.44559489998,7.67999982833862,76.977,4.65,5.245
2023,Colombia,6947.35928681966,16.4727363586426,72.58098800992877,9.594,5.695
2022,Colombia,6674.59601948063,16.20046043396,73.659,10.547,5.63
2021,Colombia,6222.62164397614,12.0699996948242,72.83,13.898,5.781
2020,Colombia,5339.68711357943,12.8500003814697,74.769,15.983,6.012
2019,Colombia,6472.54544924705,12.0699996948242,76.752,10.28,6.16340017318726
2018,Colombia,6816.96818309544,11.7600002288818,76.748,9.36,6.125
2017,Colombia,6479.53231292429,12.0699996948242,76.646,9.086,6.26
2016,Colombia,5959.84250367574,10.8999996185303,76.471,8.922,6.357
2015,Colombia,6248.51490534512,10.3000001907349,76.257,8.572,6.481
2023,Comoros,1590.31237688317,8.684047818183895,72.58098800992877,3.776,3.566
2022,Comoros,1489.49566257969,14.056170463562,63.68,3.816,3.545
2021,Comoros,1584.12450153608,3.31192517280579,63.417,4.394,4.609
2020,Comoros,1527.16991011916,8.684047818183895,64.166,4.471,4.289
2019,Comoros,1519.26386436068,8.684047818183895,64.068,3.934,4.28859996795654
2018,Comoros,1540.71132257526,8.684047818183895,63.912,3.942,3.973
2015,Comoros,1329.37048235986,8.684047818183895,62.896,4.121,3.956
2023,"Congo, Dem. Rep.",627.502181690836,5.447084903717045,72.58098800992877,4.484,5.221
2022,"Congo, Dem. Rep.",642.612265820033,5.447084903717045,59.743,4.522,5.267
2021,"Congo, Dem. Rep.",558.034077296358,5.447084903717045,59.193,5.28,5.075
2020,"Congo, Dem. Rep.",507.521230077872,5.447084903717045,59.739,5.345,5.342
2019,"Congo, Dem. Rep.",557.044161335917,5.447084903717045,60.276,4.591,5.1943998336792
2018,"Congo, Dem. Rep.",528.256019777898,7.4141697883606,59.942,4.618,4.812
2017,"Congo, Dem. Rep.",436.584534687385,5.447084903717045,59.411,4.601,4.559
2016,"Congo, Dem. Rep.",442.310472110228,3.48000001907349,59.066,4.521,4.291
2015,"Congo, Dem. Rep.",467.9145805459,5.447084903717045,58.49,4.439,4.236
2023,Costa Rica,16942.0268119375,21.30499935150145,81.0,8.325,6.955
2022,Costa Rica,13625.9008491328,21.30499935150145,77.32,11.325,6.609
2021,Costa Rica,12838.1185358931,21.30499935150145,77.023,15.139,6.582
2020,Costa Rica,12394.0493969492,21.6100006103516,79.277,16.432,7.069
2019,Costa Rica,12884.6859951989,21.30499935150145,79.427,10.807,7.12139987945557
2018,Costa Rica,12590.2493781614,21.3099994659424,79.484,9.01,7.167
2017,Costa Rica,12317.0902771304,21.30499935150145,79.377,7.729,7.072
2016,Costa Rica,12091.0301606154,20.6299991607666,79.459,8.085,7.079
2015,Costa Rica,11714.7105980732,21.2999992370605,79.086,8.415,7.087
2023,Cote D'Ivoire,2530.84659301723,4.872568368911745,72.58098800992877,2.27,5.08
2022,Cote D'Ivoire,2308.70654660366,4.76513671875,58.916,2.306,5.053
2021,Cote D'Ivoire,2455.98127641148,4.98000001907349,58.598,2.63,5.235
2020,Cote D'Ivoire,2179.72934832935,4.872568368911745,59.032,2.584,5.306
2019,Cote D'Ivoire,2141.76836170115,5.22612524032593,59.319,2.401,5.23330020904541
2018,Cote D'Ivoire,2130.86619381144,4.872568368911745,58.849,2.85,4.944
2017,Cote D'Ivoire,1964.29930338343,4.872568368911745,58.48,3.272,4.671
2016,Cote D'Ivoire,1862.59597081287,3.45458006858826,58.06,1.896,4.18
2015,Cote D'Ivoire,1814.71855088017,4.872568368911745,57.762,2.579,3.916
2023,Croatia,21865.4562838641,18.016044616699197,78.6,6.086,5.942
2022,Croatia,18466.0955472648,19.0439777374268,77.5756097560976,6.96,6.125
2021,Croatia,17789.9304736722,18.9514045715332,76.4243902439025,7.608,6.125
2020,Croatia,14808.4620188819,18.9136714935303,77.7243902439024,7.507,5.882
2019,Croatia,15563.8167397199,18.0067329406738,78.4243902439025,6.617,5.50470018386841
2018,Croatia,15460.4183295843,18.0253562927246,78.0707317073171,8.432,5.432
2017,Croatia,13902.6310485422,16.9888916015625,77.8268292682927,11.208,5.321
2016,Croatia,12821.1738140304,16.0571804046631,78.0219512195122,13.103,5.293
2015,Croatia,12285.3032582105,15.3868761062622,77.2756097560976,16.175,5.488
2023,Cyprus,36551.41796875,28.5599994659424,72.58098800992877,6.098,6.068
2022,Cyprus,33938.9453125,33.1645622253418,81.889,6.806,6.13
2021,Cyprus,33734.29296875,31.7849750518799,81.203,7.513,6.221
2020,Cyprus,28649.015625,29.7999992370605,81.391,7.755,6.223
2019,Cyprus,29703.052734375,28.8715553283691,81.397,7.155,6.15899991989136
2018,Cyprus,29599.986328125,28.5599994659424,81.382,8.504,6.046
2017,Cyprus,26696.990234375,27.1771392822266,81.328,11.155,5.762
2016,Cyprus,24715.154296875,26.6200008392334,81.056,13.006,5.621
2015,Cyprus,23487.228515625,25.5499992370605,80.966,15.026,5.546
2023,Czechia,31591.1770732969,20.9417028427124,80.0,2.579,6.822
2022,Czechia,28282.2236715857,20.9734058380127,79.0292682926829,2.224,6.845
2021,Czechia,27696.4619527544,22.8479957580566,77.2219512195122,2.803,6.92
2020,Czechia,23472.8915454417,21.3851680755615,78.1756097560976,2.55,6.965
2019,Czechia,24062.7190013343,20.9099998474121,79.2292682926829,2.015,6.9109001159668
2018,Czechia,23705.9329811299,21.0019187927246,79.0292682926829,2.246,6.852
2017,Czechia,20913.197632212,20.7299995422363,78.9780487804878,2.893,6.711
2016,Czechia,18753.9686718096,20.0799999237061,79.0268292682927,3.952,6.609
2015,Czechia,17931.5987670768,19.3400001525879,78.5780487804878,5.048,6.596
2023,Denmark,68453.8769281145,31.7404432296753,81.9,5.094,7.583
2022,Denmark,68091.3191138669,32.7245712280273,81.3048780487805,4.434,7.586
2021,Denmark,69727.9873677012,32.452018737793,81.4048780487805,5.043,7.636
2020,Denmark,60985.4885601514,33.0900001525879,81.6024390243903,5.637,7.62
2019,Denmark,59404.2663247723,31.120885848999,81.4512195121951,5.018,7.64559984207153
2018,Denmark,61324.7665045565,32.3600006103516,80.9536585365854,5.131,7.6
2017,Denmark,57521.5514992225,29.7281112670898,81.1024390243903,5.833,7.555
2016,Denmark,54500.9260410217,30.9799995422363,80.8536585365854,5.989,7.522
2015,Denmark,53094.0133607574,30.3799991607666,80.7024390243902,6.278,7.526
2023,Dominican Republic,10717.6276712204,18.7137393951416,72.58098800992877,5.555,5.823
2022,Dominican Republic,10109.5234003521,17.6953067779541,74.17,5.504,5.569
2021,Dominican Republic,8472.47982000992,12.9000816345215,72.615,7.702,5.737
2020,Dominican Republic,7162.29175242114,12.8589019775391,72.889,6.126,5.545
2019,Dominican Republic,8164.22080932117,14.3608598709106,73.577,6.356,5.68919992446899
2018,Dominican Republic,7934.98141208525,12.7266597747803,73.232,5.861,5.425
2017,Dominican Republic,7499.69286187019,11.7243194580078,73.063,5.832,5.302
2016,Dominican Republic,7174.82349574,18.1200008392334,72.987,7.284,5.23
2015,Dominican Republic,6819.93225155181,11.742317199707,72.953,7.605,5.155
2023,"Congo, Dem. Rep.",627.502181690836,5.447084903717045,59.1165,4.484,3.295
2022,"Congo, Dem. Rep.",642.612265820033,5.447084903717045,59.743,4.522,3.207
2019,"Congo, Dem. Rep.",557.044161335917,5.447084903717045,60.276,4.591,4.31099987030029
2018,"Congo, Dem. Rep.",528.256019777898,7.4141697883606,59.942,4.618,4.418
2017,"Congo, Dem. Rep.",436.584534687385,5.447084903717045,59.411,4.601,4.245
2016,"Congo, Dem. Rep.",442.310472110228,3.48000001907349,59.066,4.521,4.28
2015,"Congo, Dem. Rep.",467.9145805459,5.447084903717045,58.49,4.439,4.272
2023,Ecuador,6609.80408154957,12.1050000190735,72.58098800992877,3.51,5.725
2022,Ecuador,6540.99824522101,12.1300001144409,77.894,3.761,5.559
2021,Ecuador,6075.8026572556,12.3999996185303,73.67,4.552,5.533
2020,Ecuador,5463.64509649315,11.9399995803833,72.153,6.127,5.764
2019,Ecuador,6205.05759479761,12.1050000190735,77.297,3.812,5.92519998550415
2018,Ecuador,6303.91892523596,12.1050000190735,77.094,3.53,6.028
2017,Ecuador,6233.32244797718,12.1599998474121,76.972,3.836,5.973
2016,Ecuador,5917.63771271481,11.7200002670288,76.763,4.597,6.008
2015,Ecuador,5976.1596805651,12.0799999237061,76.789,3.616,5.976
2023,"Egypt, Arab Rep.",3457.45691570455,0.0,72.58098800992877,7.334,3.977
2022,"Egypt, Arab Rep.",4233.30783744856,0.0,70.159,7.344,4.17
2021,"Egypt, Arab Rep.",3827.35415374308,0.0,70.221,7.441,4.288
2020,"Egypt, Arab Rep.",3511.11381026379,0.0,70.99,7.974,4.283
2019,"Egypt, Arab Rep.",2962.98892023003,0.0,71.358,7.851,4.15140008926392
2018,"Egypt, Arab Rep.",2484.70315630508,0.0,71.367,9.855,4.166
2017,"Egypt, Arab Rep.",2395.10333299491,6.17000007629395,71.302,11.767,4.419
2016,"Egypt, Arab Rep.",3270.6287768197,0.0,70.844,12.45,4.735
2015,"Egypt, Arab Rep.",3306.98159414141,0.0,70.483,13.052,4.362
2023,El Salvador,5391.06926181338,7.26999998092651,72.58098800992877,2.992,6.469
2022,El Salvador,5093.51833879776,7.26999998092651,71.475,2.999,6.122
2021,El Salvador,4642.60743101342,7.26999998092651,70.748,4.327,6.12
2020,El Salvador,3997.19279583709,8.43000030517578,71.061,5.008,6.061
2019,El Salvador,4320.11671534627,8.34000015258789,72.559,4.17,6.34829998016357
2018,El Salvador,4183.54620971358,7.26999998092651,72.555,4.006,6.253
2017,El Salvador,4020.12671373919,6.67000007629395,72.311,4.385,6.167
2016,El Salvador,3901.34014965811,7.11999988555908,72.025,4.418,6.003
2015,El Salvador,3790.34089108162,7.26999998092651,71.814,3.998,6.068
2023,Estonia,30133.304450454,31.7258358001709,78.8,6.378,6.448
2022,Estonia,28451.1477825175,32.6602210998535,77.9439024390244,5.571,6.455
